,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
1350,1351,Dice Throne: Season One ReRolled,2020,,6.336,8.58,640,2,6,2,2,20,40,8,Moderate in-game text - needs crib sheet or paste ups,1.8888888888888888,,Nate Chatellier
1351,1352,Empires in Arms,1983,"Intense simulation of the Napoleonic Wars that ranged across Europe, 1805-1815.",6.336,7.60,1245,2,7,7,7,120,12000,14,Extensive use of text - massive conversion needed to be playable,4.4202898550724639,War ,Greg Pinder
1352,1353,The Castles of Tuscany,2020,"A fast, strategic game of region building during the Italian Renaissance.",6.336,7.37,1326,2,4,3,3,45,60,10,No necessary in-game text,2.1636363636363636,Strategy ,Stefan Feld
1353,1354,Kingdoms,1994,Vie for dominance by tactically placing tiles and castles over 3 epochs.,6.336,6.63,4660,2,4,2,2,45,45,9,No necessary in-game text,1.8289156626506025,Abstract  | Strategy ,Reiner Knizia
1354,1355,Navajo Wars,2013,"Avoid being subjugated by either the Spanish, Mexicans or the Americans.",6.335,8.02,831,1,2,1,1,120,120,12,Extensive use of text - massive conversion needed to be playable,3.8504672897196262,War ,Joel Toppen
1355,1356,Unlock!: Mystery Adventures – The House on the Hill,2017,,6.334,7.06,1812,1,6,2,2,60,60,10,Extensive use of text - massive conversion needed to be playable,1.7619047619047619,Thematic | Family ,Fabrice Mazza
1356,1357,Leonardo da Vinci,2006,,6.334,6.75,3372,2,5,4,4,90,90,12,No necessary in-game text,3.1882086167800452,Strategy ,Acchittocca
1357,1358,Mystery of the Abbey,1995,Murder in medieval France. Explore stone halls. Examine clues. Find the culprit.,6.334,6.54,7696,3,6,5,5,60,90,8,Moderate in-game text - needs crib sheet or paste ups,2.2034139402560453,Family ,Bruno Faidutti
1358,1359,DC Comics Dice Masters: Justice League,2015,"Batman, Wonder Woman, Superman, & more face off in dice battles.",6.334,7.35,1363,2,2,2,2,60,60,14,Moderate in-game text - needs crib sheet or paste ups,2.2121212121212119,Customizable,Mike Elliott
1359,1360,Babylonia,2019,Compete for the land and cities between the rivers while commanding mighty ziggurats.,6.334,7.72,945,2,4,4,4,60,60,14,No necessary in-game text,2.5,Strategy ,Reiner Knizia
1360,1361,Nagaraja,2019,Race a fellow adventurer to acquire your temple's treasure while avoiding its curse.,6.334,7.24,1513,2,2,2,2,30,30,9,No necessary in-game text,2.0408163265306123,Strategy ,Bruno Cathala
1361,1362,Axis & Allies,2004,"Re-fight WWII on a global scale with plastic soldiers, tanks, planes, and ships!",6.333,6.70,5818,2,5,2,2,240,240,12,Some necessary text - easily memorized or small crib sheet,3.2147540983606557,War ,"Larry Harris, Jr."
1362,1363,The Lord of the Ice Garden,2014,,6.333,7.66,1101,1,4,4,4,90,90,14,No necessary in-game text,4.0571428571428569,Strategy ,Krzysztof Wolicki
1363,1364,Ishtar: Gardens of Babylon,2019,"Grow wondrous gardens in a desert filled with gems, but room is sparse!",6.333,7.12,1777,2,4,3,3,45,45,14,No necessary in-game text,2.3103448275862069,Strategy  | Family ,Bruno Cathala
1364,1365,Thanos Rising: Avengers Infinity War,2018,Assemble your heroes and defeat Thanos before SNAP!,6.332,7.20,1924,2,4,,,60,90,10,Some necessary text - easily memorized or small crib sheet,2.0294117647058822,Thematic | Family ,Andrew Wolf
1365,1366,Space Cadets: Dice Duel,2013,Frantically — and loudly! — try to destroy the other team's ship in real-time.,6.332,6.79,2918,4,8,8,8,30,30,12,No necessary in-game text,2.0800000000000001,Thematic,Geoff Engelstein
1366,1367,The Artemis Project,2019,Build a base on Europa by fighting for limited resources & avoiding lethal exposure.,6.332,7.37,1339,1,5,3,3,60,75,13,Some necessary text - easily memorized or small crib sheet,2.838709677419355,Strategy ,Daryl Chow
1367,1368,Mordheim: City of the Damned,1999,,6.332,7.31,1614,2,6,2,2,60,60,10,No necessary in-game text,3.0882352941176472,War  | Thematic,Alessio Cavatore
1368,1369,Hit Z Road,2016,A dice chuckin' zombie filled run along Route 66.,6.332,6.75,3495,1,4,4,4,30,60,12,Some necessary text - easily memorized or small crib sheet,1.8513513513513513,Thematic,Martin Wallace
1369,1370,The Great Heartland Hauling Co.,2013,"Visit, haul, deliver.",6.331,6.90,2359,2,4,3,3,30,30,10,No necessary in-game text,1.8392857142857142,Strategy  | Family ,Jason Kotarski
1370,1371,RAF: The Battle of Britain 1940,2009,Refight the Battle of Britain as either the RAF or the Luftwaffe or 1v1.,6.331,7.97,888,1,2,1,1,300,300,0,Moderate in-game text - needs crib sheet or paste ups,3.2547169811320753,War ,John H. Butterfield
1371,1372,The Bottle Imp,1995,The bottle imp brings riches... if it can be given away before the round ends.,6.331,6.73,3286,2,4,3,3,30,30,10,No necessary in-game text,1.8715953307392996,Strategy  | Family ,G\u00fcnter Cornett
1372,1373,Chronicles of Crime: 1400,2020,"Use visions, listen to testimonies, and discover evidence to solve a crime.",6.331,8.01,870,1,4,2,2,60,90,14,Extensive use of text - massive conversion needed to be playable,2.1304347826086958,Thematic,David Cicurel
1373,1374,Dungeons & Dragons Dice Masters: Battle for Faerûn,2015,,6.329,7.27,1448,2,2,2,2,30,60,14,Extensive use of text - massive conversion needed to be playable,2.1864406779661016,Customizable,Mike Elliott
1374,1375,Ascension: Rise of Vigil,2013,Harness energy shards to fuel powerful effects in the race for honor.,6.329,7.18,1632,2,4,2,2,30,30,13,Moderate in-game text - needs crib sheet or paste ups,2.2753623188405796,Strategy ,Justin Gary
1375,1376,Warfighter: The Tactical Special Forces Card Game,2014,Hand-pick and equip an elite team to complete modern-era covert missions.,6.329,7.72,1131,1,6,1,1,30,180,0,Extensive use of text - massive conversion needed to be playable,2.7052631578947368,War ,Dan Verssen
1376,1377,Startups,2017,Invest in startups but beware - you only make money by controlling popular companies!,6.328,7.11,1730,3,7,4,4,20,20,10,No necessary in-game text,1.5833333333333333,Family ,Jun Sasaki
1377,1378,Timeline: Discoveries,2011,,6.328,6.73,3539,2,8,4,5,15,15,8,Extensive use of text - massive conversion needed to be playable,1.1785714285714286,Family ,Fr\u00e9d\u00e9ric Henry
1378,1379,Tortuga 1667,2017,Privateers capture Spanish gold for King and country. Maroon the disloyal to Tortuga!,6.328,6.97,2472,2,9,5,5,20,40,12,Moderate in-game text - needs crib sheet or paste ups,1.9811320754716981,Party ,Travis Hancock
1379,1380,Illusion,2018,A game where you put your color perception to the test.,6.327,6.78,2894,2,5,4,4,15,15,8,No necessary in-game text,1.0701754385964912,Family ,Wolfgang Warsch
1380,1381,Capital Lux,2016,Assign Citizens to your Hometown or the Capital in this futuristic tactical card game,6.327,7.05,1834,2,4,3,3,30,30,10,No necessary in-game text,1.9615384615384615,Family ,Eilif Svensson
1381,1382,GKR: Heavy Hitters,2018,,6.326,7.71,1227,1,4,4,4,60,120,12,Extensive use of text - massive conversion needed to be playable,2.7749999999999999,War  | Thematic,Matt Hyra
1382,1383,Here I Stand: 500th Anniversary Edition,2017,Europe in conflict during the Protestant Reformation of the early 16thC,6.325,8.60,621,2,6,6,6,180,360,14,Extensive use of text - massive conversion needed to be playable,4.5333333333333332,War ,Ed Beach
1383,1384,Krosmaster: Arena,2012,"The Krosmoz is a battleground, and you must lead your team to victory!",6.324,6.78,3467,2,4,2,2,45,60,14,Moderate in-game text - needs crib sheet or paste ups,2.6724137931034484,Customizable,Murat C\u00e9l\u00e9bi
1384,1385,Transatlantic,2017,Compete for passengers and freight in diverse shipping lanes.,6.324,7.10,1694,2,4,,,60,120,12,Some necessary text - easily memorized or small crib sheet,3.1428571428571428,Strategy ,Mac Gerdts
1385,1386,Warhammer Quest: Blackstone Fortress,2018,"Scavenge, loot and survive the Fortress, FOR THE EMPEROR... or just yourself.",6.324,7.98,1045,1,5,4,4,120,180,12,Extensive use of text - massive conversion needed to be playable,2.903225806451613,Thematic,Jervis Johnson
1386,1387,Aristeia!,2017,,6.323,8.35,792,2,2,2,2,60,90,14,Moderate in-game text - needs crib sheet or paste ups,3.0270270270270272,Customizable | Strategy ,Alberto Abal
1387,1388,A Victory Lost: Crisis in Ukraine 1942-1943,2006,A simulation of the fighting between the Axis and Soviet forces in the southwest USSR,6.323,7.69,1030,2,2,2,2,360,360,12,No necessary in-game text,2.5737704918032787,War ,Tetsuya Nakamura
1388,1389,König von Siam,2007,"Fight for the control of Siam as factions fight, while staving off the colonisers.",6.323,6.91,2166,2,4,3,3,30,30,12,No necessary in-game text,2.6976744186046511,Strategy ,Peer Sylvester
1389,1390,Helvetia,2011,"Build new homes, bring culture to your village, and sell essential goods at market.",6.322,6.98,1956,2,4,4,4,90,90,12,No necessary in-game text,3.0559440559440558,Strategy ,Matthias Cramer
1390,1391,Infinity,2005,Miniature skirmish wargame set in cyberpunk future - it's always your turn.,6.321,8.11,815,2,2,2,2,90,120,12,No necessary in-game text,3.9270833333333335,War ,Gutier Lusqui\u00f1os Rodr\u00edguez
1391,1392,Evo,Second Edition,,6.320,6.94,2134,2,5,4,4,60,60,14,Moderate in-game text - needs crib sheet or paste ups,2.3703703703703702,Strategy  | Family ,Philippe Keyaerts
1392,1393,Star Trek: Attack Wing,2013,,6.319,7.51,1814,2,99,2,2,60,60,14,Moderate in-game text - needs crib sheet or paste ups,2.716417910447761,War ,Christopher Guild
1393,1394,Exodus: Proxima Centauri,2012,,6.319,7.17,1607,2,6,6,6,180,180,14,Some necessary text - easily memorized or small crib sheet,3.6057692307692308,Thematic | Strategy ,Agnieszka Kopera
1394,1395,Maquis,2013,Avoid patrols to complete missions vs. the Nazis in this solo worker-placement game.,6.319,7.36,1302,1,1,1,1,20,20,14,Some necessary text - easily memorized or small crib sheet,2.1454545454545455,Thematic | Strategy ,Jake Staines
1395,1396,New Bedford,2016,Strategic yet approachable game of whaling and town-building in mid-1800s New England,6.318,7.11,1727,1,4,4,4,30,60,12,Moderate in-game text - needs crib sheet or paste ups,2.3555555555555556,Strategy ,Nathaniel Levan
1396,1397,Piepmatz,2018,Feathers fly in this battle over pecking order at the bird feeder.,6.318,7.17,1547,2,4,3,3,20,40,12,No necessary in-game text,2.0862068965517242,Strategy ,Ben Pinchback
1397,1398,Carnival of Monsters,2019,Capture monsters for your mystical menagerie in this streamlined drafting experience.,6.317,7.29,1479,2,5,4,4,45,45,12,Moderate in-game text - needs crib sheet or paste ups,2.1190476190476191,Family ,Richard Garfield
1398,1399,New York Slice,2017,"Build your ultimate pizza. Slice it well, or you may end up stuck with anchovies.",6.317,6.75,3067,2,6,4,4,30,30,8,Some necessary text - easily memorized or small crib sheet,1.425531914893617,Family ,Jeffrey D. Allers
1399,1400,The Great Dalmuti,1995,Get rid of your cards to rise through society from peon to Dalmuti.,6.317,6.56,6909,4,8,6,7,60,60,8,No necessary in-game text,1.2931654676258992,Party ,Richard Garfield
1400,1401,Big City,1999,,6.316,6.87,2357,2,5,3,3,60,60,10,No necessary in-game text,2.217898832684825,Strategy  | Family ,Franz-Benno Delonge
1401,1402,Steel Driver,2008,,6.316,6.98,1906,3,6,4,4,60,60,11,No necessary in-game text,2.8018433179723501,Strategy ,Martin Wallace
1402,1403,Smash Up: The Obligatory Cthulhu Set,2013,The Game Design World Cabal requires that Cthulhu be featured in every game line.,6.315,6.75,3283,2,2,3,null,30,45,12,Moderate in-game text - needs crib sheet or paste ups,2.1951219512195124,Strategy ,Paul Peterson
